"Key","DE","EN","FR"
"Login","Anmelden","Login","Connexion"
"Logout","Abmelden","Logout","Déconnexion"
"Username","Benutzername","Username","Nom d'utilisateur"
"Password","Passwort","Password","Mot de passe"
"RememberMe","Angemeldet bleiben","Remember me","Rester connecté"
"Dashboard","Dashboard","Dashboard","Tableau de bord"
"Settings","Einstellungen","Settings","Paramètres"
"Save","Speichern","Save","Enregistrer"
"Cancel","Abbrechen","Cancel","Annuler"
"Search","Suchen","Search","Rechercher"
"Edit","Bearbeiten","Edit","Modifier"
"Delete","Löschen","Delete","Supprimer"
"ConfirmDelete","Möchten Sie diesen Eintrag wirklich löschen?","Are you sure you want to delete this entry?","Voulez-vous vraiment supprimer cette entrée ?"
"Yes","Ja","Yes","Oui"
"No","Nein","No","Non"
"Loading","Lade...","Loading...","Chargement..."
"ErrorOccurred","Ein Fehler ist aufgetreten","An error has occurred","Une erreur est survenue"
"NoResults","Keine Ergebnisse gefunden","No results found","Aucun résultat trouvé"
"WelcomeMessage","Willkommen zurück, {0}!","Welcome back, {0}!","Bon retour, {0} !"
"RequiredField","Pflichtfeld","Required field","Champ obligatoire"
